_id,english,russian,transcription,part_speech,complexity,word_knowledge
1,advice,совет,/ədˈvaɪs/,1,1,0
2,again,"опять, снова",/əˈɡen/ ,2,1,0
3,become,становиться,/bɪˈkʌm/ ,3,1,0
4,boy,мальчик,/bɔɪ/,1,1,0
5,clothes,одежда,/kləʊðz/,1,1,0
6,disease,болезнь,/dɪˈziːz/,1,1,0
7,kind,добрый,/kaɪnd/,4,1,0
8,pumpkin,тыква,/ˈpʌmp.kɪn/ ,1,1,0
9,science,наука,rdberb,1,1,0
10,young,молодой,/jʌŋ/,4,1,0
11,abate,уменьшать,/əˈbeɪt/,3,3,0
12,ambidextrous,ловкий,/ˌæm.bɪˈdek.strəs/ ,4,3,0
13,avarice,алчность,/ˈæv.ər.ɪs/,1,3,0
14,deference,уважение,/ˈdef.ər.əns/,1,3,0
15,diaphanous,прозрачный,/daɪˈæf.ən.əs/,4,3,0
16,drought,"засуха,жажда",/draʊt/,1,3,0
17,incise,надрезать,/ɪnˈsaɪz/,3,3,0
18,penchant,склонность,/ˈpɑ̃ːŋ.ʃɑ̃ːŋ/,1,3,0
19,precipitous,обрывистый,/prɪˈsɪp.ɪ.təs/,4,3,0
20,rarefy,разжигать,/ˈreə.rɪ.faɪ/,3,3,0
21,canteen,столовая,/kænˈtiːn/,1,2,0
22,confidence,уверенность,/ˈkɒn.fɪ.dəns/,1,2,0
23,courage,смелость,/ˈkʌr.ɪdʒ/,1,2,0
24,descend,спускаться,/dɪˈsend/ ,3,2,0
25,humiliate,унижать,/hjuːˈmɪl.i.eɪt/,3,2,0
26,naughty,непослушный,/ˈnɔː.ti/ ,4,2,0
27,prejudice,предубеждение,/ˈpredʒ.ə.dɪs/,1,2,0
28,referee,"судья,арбитр",/ˌref.əˈriː/,1,2,0
29,sufficient,достаточный,/səˈfɪʃ.ənt/,4,2,0
30,withdraw,извлекать,/wɪðˈdrɔː/,3,2,0
